Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
18.6732,Error ,1.25,-50,15.9995,-0.624023,0,-0.0305176,-164.063,0,-158,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6752,Error ,1.25,-50,15.9995,-0.621582,0,7.78198,-156.25,0,-158,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6802,Error ,1.25,-50,15.9995,-0.623535,0,15.5945,-148.438,0,-162,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7008,Error ,1.25,-50,15.9995,-0.621094,0,-15.6555,-187.5,0,-165,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7052,Error ,1.25,-50,15.9995,-0.621094,0,23.407,-179.688,0,-165,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7102,Error ,1.25,-50,15.9995,-0.618652,0,23.407,-179.688,0,-154,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7152,Error ,1.25,-50,15.9995,-0.619141,0,23.407,-156.25,0,-154,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7202,Error ,1.25,-50,15.9995,-0.625,0,39.032,-156.25,0,-167,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7252,Error ,1.25,-50,15.9995,-0.620117,0,54.657,-132.813,0,-167,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7302,Error ,1.25,-50,15.9995,-0.622559,0,15.5945,-164.063,0,-152,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7351,Error ,1.25,-50,15.9995,-0.617188,0,31.2195,-195.313,0,-152,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7401,Error ,1.25,-50,15.9995,-0.623047,0,23.407,-171.875,0,-160,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7451,Error ,1.25,-50,15.9995,-0.619141,0,15.5945,-164.063,0,-160,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7501,Error ,1.25,-50,15.9995,-0.624512,0,7.78198,-117.188,0,-166,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7551,Error ,1.25,-50,15.9995,-0.619629,0,-7.84302,-140.625,0,-166,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7601,Error ,1.25,-50,15.9995,-0.621094,0,-23.468,-132.813,0,-162,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7651,Error ,1.25,-50,15.9995,-0.623535,0,15.5945,-132.813,0,-162,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7701,Error ,1.25,-50,15.9995,-0.620117,0,-0.0305176,-132.813,0,-160,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7751,Error ,1.25,-50,15.9995,-0.619629,0,-39.093,-148.438,0,-160,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7801,Error ,1.25,-50,15.9995,-0.621094,0,23.407,-148.438,0,-172,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7851,Error ,1.25,-50,15.9995,-0.625488,0,15.5945,-125,0,-172,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7901,Error ,1.25,-50,15.9995,-0.620117,0,31.2195,-140.625,0,-159,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7951,Error ,1.25,-50,15.9995,-0.624023,0,-7.84302,-140.625,0,-159,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8001,Error ,1.25,-50,15.9995,-0.621582,0,23.407,-164.063,0,-172,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8051,Error ,1.25,-50,15.9995,-0.622559,0,31.2195,-187.5,0,-172,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8101,Error ,1.25,-50,15.9995,-0.620605,0,15.5945,-164.063,0,-163,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8151,Error ,1.25,-50,15.9995,-0.62207,0,15.5945,-148.438,0,-163,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.82,Error ,1.25,-50,15.9995,-0.62207,0,23.407,-156.25,0,-156,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.825,Error ,1.25,-50,15.9995,-0.616699,0,7.78198,-156.25,0,-156,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.83,Error ,1.25,-50,15.9995,-0.621582,0,23.407,-140.625,0,-164,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.835,Error ,1.25,-50,15.9995,-0.62207,0,7.78198,-164.063,0,-164,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
