Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
18.6736,Error ,1.25,-50,0.059082,0.238281,0,203.125,171.875,0,-206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6748,Error ,1.25,-50,0.0576172,0.237793,0,187.5,218.75,0,-206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6796,Error ,1.25,-50,0.0556641,0.23877,0,218.75,195.313,0,-203,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6982,Error ,1.25,-50,0.0566406,0.234375,0,203.125,179.688,0,-205,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.6996,Error ,1.25,-50,0.0581055,0.233398,0,226.563,187.5,0,-216,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7046,Error ,1.25,-50,0.0581055,0.233398,0,226.563,187.5,0,-216,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7096,Error ,1.25,-50,0.0561523,0.236816,0,218.75,179.657,0,-209,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7146,Error ,1.25,-50,0.0571289,0.234863,0,218.75,148.438,0,-209,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7196,Error ,1.25,-50,0.0561523,0.240723,0,210.938,164.063,0,-201,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7246,Error ,1.25,-50,0.059082,0.234863,0,210.938,164.063,0,-201,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7296,Error ,1.25,-50,0.0571289,0.237305,0,210.938,187.5,0,-211,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7346,Error ,1.25,-50,0.0581055,0.237793,0,226.563,187.5,0,-211,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7395,Error ,1.25,-50,0.0585938,0.237793,0,187.5,164.063,0,-206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7446,Error ,1.25,-50,0.0585938,0.243652,0,187.5,171.875,0,-206,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7495,Error ,1.25,-50,0.0561523,0.238281,0,210.938,187.5,0,-210,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7545,Error ,1.25,-50,0.0595703,0.23584,0,179.688,179.688,0,-210,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7595,Error ,1.25,-50,0.0595703,0.236816,0,187.5,148.438,0,-210,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7645,Error ,1.25,-50,0.0605469,0.234863,0,210.938,156.25,0,-208,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7695,Error ,1.25,-50,0.0581055,0.241211,0,210.938,164.063,0,-208,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7752,Error ,1.25,-50,0.0571289,0.23877,0,195.313,195.313,0,-206,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7795,Error ,1.25,-50,0.0561523,0.237793,0,187.5,171.875,0,-206,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7845,Error ,1.25,-50,0.0566406,0.235352,0,187.5,187.5,0,-200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7895,Error ,1.25,-50,0.0571289,0.236328,0,203.125,164.063,0,-200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7945,Error ,1.25,-50,0.059082,0.236816,0,226.563,171.875,0,-211,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.7995,Error ,1.25,-50,0.0532227,0.236816,0,171.875,156.25,0,-211,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8045,Error ,1.25,-50,0.0585938,0.234375,0,187.5,187.5,0,-202,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8095,Error ,1.25,-50,0.0571289,0.241211,0,203.125,164.063,0,-202,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8145,Error ,1.25,-50,0.0605469,0.240234,0,187.5,171.875,0,-210,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8194,Error ,1.25,-50,0.0600586,0.238281,0,218.75,156.25,0,-210,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8245,Error ,1.25,-50,0.0615234,0.235352,0,218.75,195.313,0,-211,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8294,Error ,1.25,-50,0.0615234,0.236328,0,218.75,187.5,0,-211,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8344,Error ,1.25,-50,0.0610352,0.239258,0,226.563,195.313,0,-204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8394,Error ,1.25,-50,0.0576172,0.237305,0,187.5,140.625,0,-204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8444,Error ,1.25,-50,0.0595703,0.234375,0,203.125,164.063,0,-205,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8494,Error ,1.25,-50,0.0576172,0.22998,0,218.75,171.875,0,-205,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8544,Error ,1.25,-50,0.0581055,0.237305,0,226.563,171.875,0,-209,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8594,Error ,1.25,-50,0.0605469,0.23877,0,187.5,187.5,0,-209,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8644,Error ,1.25,-50,0.0605469,0.237305,0,195.313,164.063,0,-209,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.8694,Error ,1.25,-50,0.0571289,0.239746,0,210.938,179.657,0,-209,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
